"Date","Price","Open","High","Low","Vol.","Change %"
"12/03/2012","195.33","198.13","199.35","195.09","530.76K","-0.87%"
"11/30/2012","197.04","195.45","197.23","194.52","743.68K","0.73%"
"11/29/2012","195.62","196.74","197.54","194.21","569.47K","-0.92%"
"11/28/2012","197.43","194.50","198.88","194.00","906.84K","1.34%"
"11/27/2012","194.82","196.35","196.35","192.81","704.08K","0.38%"
"11/26/2012","194.09","194.48","195.22","193.28","397.49K","-0.74%"
"11/23/2012","195.54","194.71","195.60","194.08","167.14K","0.92%"
"11/21/2012","193.75","194.73","194.99","192.07","550.09K","-0.03%"
"11/20/2012","193.80","190.81","193.80","190.30","730.17K","1.38%"
"11/19/2012","191.16","189.46","191.21","189.15","927.96K","2.23%"
"11/16/2012","186.99","188.13","190.16","185.41","941.88K","0.02%"
"11/15/2012","186.96","186.50","187.55","185.20","1.05M","0.19%"
"11/14/2012","186.60","188.76","189.19","186.25","694.88K","-0.92%"
"11/13/2012","188.34","187.27","190.09","187.25","739.80K","-0.10%"
"11/12/2012","188.53","187.25","189.50","186.31","622.22K","0.91%"
"11/09/2012","186.83","186.70","189.02","186.47","446.14K","-0.14%"
"11/08/2012","187.10","190.31","191.59","187.10","570.03K","-1.53%"
"11/07/2012","190.00","188.98","190.60","188.50","1.38M","-0.74%"
"11/06/2012","191.42","191.09","191.86","189.51","963.13K","1.01%"
"11/05/2012","189.50","188.82","190.25","187.36","530.00K","-0.01%"
"11/02/2012","189.52","190.86","192.31","189.32","686.37K","-0.29%"
"11/01/2012","190.07","189.52","190.46","188.84","811.08K","0.21%"
"10/31/2012","189.68","189.09","190.99","188.34","909.25K","1.44%"
"10/26/2012","186.99","187.30","188.40","186.44","685.98K","-0.07%"
"10/25/2012","187.12","188.45","189.08","186.18","648.36K","0.07%"
"10/24/2012","186.99","188.30","190.28","186.33","748.85K","-0.47%"
"10/23/2012","187.87","187.01","189.28","185.71","738.07K","-0.74%"
"10/22/2012","189.27","188.49","189.41","186.67","497.31K","0.17%"
"10/19/2012","188.94","189.41","190.20","188.39","807.66K","-0.56%"
"10/18/2012","190.00","188.81","192.08","188.40","1.15M","0.46%"
"10/17/2012","189.13","191.49","192.00","188.69","1.35M","-0.44%"
"10/16/2012","189.97","187.24","190.87","186.84","1.57M","2.48%"
"10/15/2012","185.37","186.52","188.00","184.35","1.38M","0.58%"
"10/12/2012","184.31","185.68","187.75","183.25","688.23K","-0.80%"
"10/11/2012","185.79","187.80","188.61","185.50","632.01K","-0.84%"
"10/10/2012","187.36","188.61","188.99","187.24","564.78K","-0.86%"
"10/09/2012","188.99","188.94","190.34","188.69","1.36M","0.16%"
"10/08/2012","188.69","187.94","189.90","187.33","1.20M","0.69%"
"10/05/2012","187.39","185.02","191.99","185.02","1.53M","1.83%"
"10/04/2012","184.02","182.14","184.07","181.54","806.70K","1.35%"
